date,cases_raw,deaths_raw,hosp_nice,hosp_combined,icu_daily,rt_rivm,rt_low,rt_up,prevalence_rivm,sewage_rna,radar_contact_rate,radar_infected_contact,radar_infectious_contact,coronamelder_positives,cases_sm7,deaths_sm7,hosp_sm7,radar_c_sm7,radar_z_sm7,radar_cI_sm7,radar_I_frac_sm7,radar_I_count_sm7,cm_positives_sm7,sewage_sm7,hosp_nice_old,hosp_combined_old,icu_daily_old,radar_contact_rate_old,radar_infected_contact_old,radar_infectious_contact_old,hosp_sm7_old,radar_c_sm7_old,radar_cI_sm7_old,radar_I_frac_sm7_old,hosp_adm,hosp_notif,icu_adm,icu_notif,icu_sm7,tests_total,tests_positive,prev_json_avg,prev_json_low,prev_json_up,positivity_rate
2020-02-27,,,3,3,0,2.06,1.48,2.69,5475.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3,0,0,0,,,,6938.0,5475.0,8353.0,
2020-02-28,1.0,0.0,4,4,0,2.1,1.5,2.75,7037.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4,0,0,0,,,,8697.0,7037.0,10317.0,
2020-02-29,1.0,0.0,2,2,1,1.99,1.37,2.67,8940.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2,0,1,0,,,,10866.0,8940.0,12739.0,
2020-03-01,3.0,0.0,8,8,1,1.83,1.44,2.25,11182.0,,,,,,,0.0,7.14285714285714,,,,,,,,,,,,,,,,,,8,0,1,0,1.0,,,13451.0,11182.0,15595.0,
2020-03-02,5.0,0.0,10,10,0,1.79,1.45,2.13,13779.0,,,,,,5.85714285714286,0.0,8.28571428571429,,,,,,,,,,,,,,,,,,10,0,0,0,1.14285714285714,,,16539.0,13779.0,19070.0,
2020-03-03,4.0,0.0,10,10,2,1.82,1.44,2.21,16859.0,,,,,,11.4285714285714,0.0,10.8571428571429,,,,,,,,,,,,,,,,,,10,0,2,0,1.71428571428571,,,20184.0,16859.0,23211.0,
2020-03-04,10.0,0.0,13,13,3,1.84,1.5,2.2,20199.0,,,,,,18.4285714285714,0.1429,11.7142857142857,,,,,,,,,,,,,,,,,,13,0,3,0,2.0,,,24206.0,20199.0,27794.0,
2020-03-05,17.0,0.0,11,11,1,1.86,1.56,2.17,24158.0,,,,,,22.5714285714286,0.2857,13.5714285714286,,,,,,,,,,,,,,,,,,11,0,1,0,2.57142857142857,,,28896.0,24158.0,33073.0,
2020-03-06,40.0,0.0,22,22,4,1.89,1.63,2.16,27956.0,,,,,,30.5714285714286,0.4286,16.5714285714286,,,,,,,,,,,,,,,,,,22,0,4,0,3.57142857142857,,,33712.0,27956.0,38609.0,
2020-03-07,50.0,1.0,8,8,3,1.9,1.65,2.15,32882.0,,,,,,48.5714285714286,0.4286,20.1428571428571,,,,,,,,,,,,,,,,,,8,0,3,0,4.71428571428571,,,39629.0,32882.0,45487.0,
2020-03-08,32.0,1.0,21,21,5,1.8,1.56,2.06,38790.0,,,,,,64.7142857142857,0.5714,25.0,,,,,,,,,,,,,,,,,,21,0,5,0,5.57142857142857,,,46745.0,38790.0,53626.0,
2020-03-09,61.0,1.0,31,31,7,1.67,1.5,1.84,43780.0,,,,,,80.4285714285714,0.5714,33.4285714285714,,,,,,,,,,,,,,,,,,31,0,7,0,8.71428571428571,,,52981.0,43780.0,61143.0,
2020-03-10,130.0,0.0,35,35,10,1.55,1.39,1.72,47550.0,,,,,,90.8571428571429,1.0,42.7142857142857,,,,,,,,,,,,,,,,,,35,0,10,0,10.0,,,58059.0,47550.0,67461.0,
2020-03-11,123.0,1.0,47,47,9,1.43,1.3,1.58,51789.0,,,,,,115.0,1.2857,51.8571428571429,,,,,,,,,,,,,,,,,,47,0,9,0,12.5714285714286,,,63857.0,51789.0,74682.0,
2020-03-12,127.0,0.0,70,70,23,1.33,1.2,1.46,55968.0,,,,,,135.142857142857,2.1429,61.8571428571429,,,,,,,,,,,,,,,,,,70,0,23,0,15.8571428571429,,,69472.0,55968.0,81667.0,
2020-03-13,113.0,3.0,87,87,13,1.25,1.14,1.36,59835.0,,,,,,165.0,2.5714,81.4285714285714,,,,,,,,,,,,,,,,,,87,0,13,0,19.5714285714286,,,75346.0,59835.0,89096.0,
2020-03-14,219.0,3.0,72,72,21,1.16,1.05,1.27,64816.0,,,,,,187.571428571429,5.1429,99.5714285714286,,,,,,,,,,,,,,,,,,72,0,21,0,23.1428571428571,,,82979.0,64816.0,98912.0,
2020-03-15,173.0,7.0,91,91,28,1.04,0.94,1.15,71592.0,,,,,,219.571428571429,7.2857,124.142857142857,,,,,,,,,,,,,,,,,,91,0,28,0,29.8571428571429,,,91364.0,71592.0,109238.0,
2020-03-16,270.0,4.0,168,168,33,0.96,0.88,1.04,79568.0,,,,,,258.0,10.2857,158.428571428571,,,,,,,,,,,,,,,,,,168,0,33,0,36.0,,,99770.0,79568.0,119650.0,
2020-03-17,288.0,18.0,162,162,35,0.92,0.83,1.01,88215.0,,,,,,318.0,14.0,189.142857142857,,,,,,,,,,,,,,,,,,162,0,35,0,46.0,,,109572.0,88215.0,130733.0,
2020-03-18,347.0,16.0,219,219,56,0.88,0.8,0.97,96838.0,,,,,,377.714285714286,18.0,214.428571428571,,,,,,,,,,,,,,,,,,219,0,56,0,54.4285714285714,,,119161.0,96838.0,140418.0,
2020-03-19,396.0,21.0,310,310,66,0.84,0.75,0.93,105554.0,,,,,,439.428571428571,23.1429,241.428571428571,,,,,,,,,,,,,,,,,,310,0,66,0,60.8571428571429,,,129732.0,105554.0,152134.0,
2020-03-20,533.0,29.0,302,302,83,0.81,0.73,0.89,112789.0,,,,,,479.857142857143,27.1429,290.428571428571,,,,,,,,,,,,,,,,,,302,0,83,0,70.1428571428571,,,140522.0,112789.0,165365.0,
2020-03-21,637.0,31.0,249,249,80,0.79,0.7,0.87,119433.0,,,,,,545.714285714286,33.4286,337.571428571429,,,,,,,,,,,,,,,,,,249,0,80,0,81.0,,,150613.0,119433.0,177943.0,
2020-03-22,605.0,43.0,280,280,73,0.75,0.65,0.84,124559.0,,,,,,616.571428571429,42.5714,379.428571428571,,,,,,,,,,,,,,,,,,280,0,73,0,90.1428571428571,,,158602.0,124559.0,189320.0,
2020-03-23,553.0,32.0,511,511,98,0.72,0.65,0.79,126833.0,,,,,,703.857142857143,50.2857,407.0,,,,,,,,,,,,,,,,,,511,0,98,0,96.4285714285714,,,164237.0,126833.0,198897.0,
2020-03-24,749.0,62.0,492,492,111,0.71,0.62,0.8,127844.0,,,,,,794.428571428572,62.4286,452.428571428572,,,,,,,,,,,,,,,,,,492,1005,111,613,101.0,,,167255.0,127844.0,204725.0,
2020-03-25,843.0,80.0,512,512,120,0.71,0.63,0.8,126288.0,,,,,,867.142857142857,70.7143,467.428571428571,,,,,,,,,,,,,,,,,,512,275,120,132,104.285714285714,,,168222.0,126288.0,207759.0,
2020-03-26,1007.0,75.0,503,503,110,0.72,0.63,0.82,121665.0,,,,,,936.714285714286,82.4286,470.0,,,,,,,,,,,,,,,,,,503,384,110,115,107.0,,,165953.0,121665.0,208363.0,
2020-03-27,1167.0,114.0,620,620,115,0.74,0.65,0.84,116024.0,,,,,,982.428571428571,90.7143,468.142857142857,,,,,,,,,,,,,,,,,,620,430,115,110,111.142857142857,,,162347.0,116024.0,206736.0,
